mode_of_transport,day,time,impacts,illumination_effect,campaign_name,frame,quarter_of_hour
2,1,96,5.8104644806,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-22 05:45:00
2,1,1,33.0719018437,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 06:00:00
2,1,2,29.8323534032,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 06:15:00
2,1,3,29.97061929,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 06:30:00
2,1,4,86.4555586614,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 06:45:00
2,1,5,9.5610071695,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 07:00:00
2,1,6,115.6628629904,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 07:15:00
2,1,7,98.5247402035,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 07:30:00
2,1,8,65.4835027962,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 07:45:00
2,1,9,179.0853454633,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 08:00:00
2,1,10,110.1329918481,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 08:15:00
2,1,11,60.0948302659,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 08:30:00
2,1,12,53.8484977166,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 08:45:00
2,1,13,208.235833797,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 09:00:00
2,1,14,47.1777684771,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 09:15:00
2,1,15,131.8232205335,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 09:30:00
2,1,16,22.4673212083,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 09:45:00
2,1,17,52.4980643331,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 10:00:00
2,1,18,40.6751159051,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 10:15:00
2,1,19,94.0878188827,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 10:30:00
2,1,20,24.1948315562,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 10:45:00
2,1,21,47.6945145483,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 11:00:00
2,1,22,44.9889377544,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 11:15:00
2,1,23,49.6762463615,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 11:30:00
2,1,24,39.1741925613,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 11:45:00
2,1,25,14.7608642445,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 12:00:00
2,1,26,30.9377606339,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 12:15:00
2,1,27,21.7229313674,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 12:30:00
2,1,28,8.1954970097,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 12:45:00
2,1,29,8.6255680176,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 13:00:00
2,1,30,61.0279481783,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 13:15:00
2,1,31,18.2641203761,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234575957,2025-07-21 13:30:00
